Fundamentals of Electrical and Computer Engineering,017124,ECE,110L,0,0,0,0,0,0,0,0,0,0,0
Fundamentals of Electrical and Computer Engineering - Lab,017450,ECE,110L9,0,0,0,0,0,0,0,0,0,0,0
Introduction to Microelectronic Devices and Circuits,017428,ECE,230L,0,0,0,0,0,0,0,0,0,0,0
Introduction to Microelectronic Devices and Circuits-Lab,017427,ECE,230L9,0,0,0,0,0,0,0,0,0,0,0
Computer Architecture,017430,ECE,250D,0,0,0,0,0,0,0,0,0,0,0
Fields and Waves: Fundamentals of Information Propagation,017432,ECE,270DL,0,0,0,0,0,0,0,0,0,0,0
Introduction to Electromagnetic Fields,017432,ECE,270L,0,0,0,0,0,0,0,0,0,0,0
Introduction to Signals and Systems,017448,ECE,280L,0,0,0,0,0,0,0,0,0,0,0
Special Topics in Electrical and Computer Engineering,022547,ECE,290,0,0,0,0,0,0,0,0,0,0,0
Projects in Electrical and Computer Engineering,024701,ECE,291,0,0,0,0,0,0,0,0,0,0,0
Projects in Electrical and Computer Engineering,024702,ECE,292,0,0,0,0,0,0,0,0,0,0,0
Thermal Physics,013746,ECE,311,0,0,0,0,0,0,0,0,0,0,0
Fundamentals of Microelectronic Devices,018611,ECE,330L,0,0,0,0,0,0,0,0,0,0,0
Fundamentals of Microelectronic Circuits,003628,ECE,331L,0,0,0,0,0,0,0,0,0,0,0
Optics and Photonics,003704,ECE,340L,0,0,0,0,0,0,0,0,0,0,0
Solar Cells,024000,ECE,341L,0,0,0,0,0,0,0,0,0,0,0
Digital Systems,003614,ECE,350L,0,0,0,0,0,0,0,0,0,0,0
Computer Network Architecture,003619,ECE,356,0,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Project,014093,ECE,363L,0,0,0,0,0,0,0,0,0,0,0
Performance and Technology: Composition Workshop,013819,ECE,364,0,0,0,0,0,0,0,0,0,1,0
Introduction to Random Signals and Noise,022218,ECE,380,0,0,0,0,0,0,0,0,0,0,0
Fundamentals of Digital Signal Processing,014379,ECE,381,0,0,0,0,0,0,0,0,0,0,0
Linear Control Systems,003606,ECE,382,0,0,0,0,0,0,0,0,0,0,0
Introduction to Robotics and Automation,003607,ECE,383,0,0,0,0,0,0,0,0,0,0,0
Projects in Electrical and Computer Engineering,003646,ECE,391,0,0,0,0,0,0,0,0,0,0,0
Projects in Electrical and Computer Engineering,003647,ECE,392,0,0,0,0,0,0,0,0,0,0,0
Power Electronic Circuits for Energy Conversion,024982,ECE,431,0,0,0,0,0,0,0,0,0,0,0
Sensors and Sensor Interface Design,016469,ECE,449,0,0,0,0,0,0,0,0,0,0,0
Engineering Software for Maintainability,023297,ECE,458,0,0,0,0,0,0,0,0,0,0,0
Introduction to Embedded Systems,016163,ECE,459,0,0,0,0,0,0,0,0,0,0,0
Ocean Engineering,024252,ECE,461,0,0,0,0,0,0,0,0,0,0,0
Introduction to Digital Communication Systems,014541,ECE,483,0,0,0,0,0,0,0,0,0,0,0
