text,upvotes,downvotes,student_id,comment_id
Here is a comment by student #1071 for the class with id #000513. I give it 5 difficulty and 2 quality.,1,0,1071,0
Here is a comment by student #3192 for the class with id #000513. I give it 2 difficulty and 3 quality.,0,0,3192,1
Here is a comment by student #3832 for the class with id #000513. I give it 3 difficulty and 2 quality.,0,0,3832,2
Here is a comment by student #2435 for the class with id #000513. I give it 4 difficulty and 2 quality.,0,2,2435,3
Here is a comment by student #2775 for the class with id #000513. I give it 5 difficulty and 5 quality.,0,0,2775,4
Here is a comment by student #1735 for the class with id #000513. I give it 3 difficulty and 3 quality.,6,0,1735,5
Here is a comment by student #2096 for the class with id #000513. I give it 4 difficulty and 1 quality.,0,0,2096,6
Here is a comment by student #3076 for the class with id #000513. I give it 4 difficulty and 1 quality.,2,0,3076,7
Here is a comment by student #2926 for the class with id #000513. I give it 5 difficulty and 3 quality.,8,0,2926,8
Here is a comment by student #3275 for the class with id #000513. I give it 2 difficulty and 4 quality.,3,0,3275,9
Here is a comment by student #1737 for the class with id #000513. I give it 5 difficulty and 4 quality.,3,0,1737,10
Here is a comment by student #2819 for the class with id #000513. I give it 4 difficulty and 3 quality.,6,0,2819,11
Here is a comment by student #3459 for the class with id #000527. I give it 3 difficulty and 5 quality.,0,0,3459,12
Here is a comment by student #1732 for the class with id #000527. I give it 4 difficulty and 5 quality.,2,0,1732,13
Here is a comment by student #2732 for the class with id #000527. I give it 4 difficulty and 1 quality.,8,1,2732,14
Here is a comment by student #1623 for the class with id #000527. I give it 1 difficulty and 2 quality.,0,0,1623,15
Here is a comment by student #2536 for the class with id #000527. I give it 5 difficulty and 3 quality.,2,0,2536,16
Here is a comment by student #2304 for the class with id #000527. I give it 2 difficulty and 3 quality.,6,0,2304,17
Here is a comment by student #3893 for the class with id #021898. I give it 5 difficulty and 4 quality.,5,0,3893,18
Here is a comment by student #2801 for the class with id #021898. I give it 3 difficulty and 2 quality.,0,0,2801,19
Here is a comment by student #1972 for the class with id #021898. I give it 4 difficulty and 3 quality.,5,1,1972,20
Here is a comment by student #1682 for the class with id #021898. I give it 2 difficulty and 1 quality.,0,0,1682,21
Here is a comment by student #1554 for the class with id #021898. I give it 5 difficulty and 5 quality.,0,0,1554,22
Here is a comment by student #3061 for the class with id #021898. I give it 2 difficulty and 1 quality.,1,0,3061,23
Here is a comment by student #2954 for the class with id #021898. I give it 3 difficulty and 5 quality.,0,0,2954,24
Here is a comment by student #1294 for the class with id #022670. I give it 3 difficulty and 1 quality.,7,0,1294,25
Here is a comment by student #2272 for the class with id #022670. I give it 1 difficulty and 2 quality.,0,2,2272,26
Here is a comment by student #1943 for the class with id #022670. I give it 4 difficulty and 5 quality.,1,0,1943,27
Here is a comment by student #1105 for the class with id #022670. I give it 3 difficulty and 4 quality.,6,0,1105,28
Here is a comment by student #2173 for the class with id #022670. I give it 4 difficulty and 1 quality.,6,1,2173,29
Here is a comment by student #1784 for the class with id #022670. I give it 5 difficulty and 4 quality.,0,0,1784,30
Here is a comment by student #1915 for the class with id #022670. I give it 4 difficulty and 5 quality.,0,1,1915,31
Here is a comment by student #3694 for the class with id #022670. I give it 3 difficulty and 1 quality.,0,0,3694,32
Here is a comment by student #1150 for the class with id #021899. I give it 3 difficulty and 2 quality.,0,2,1150,33
Here is a comment by student #3693 for the class with id #021899. I give it 1 difficulty and 5 quality.,7,0,3693,34
Here is a comment by student #2193 for the class with id #021899. I give it 2 difficulty and 2 quality.,0,1,2193,35
Here is a comment by student #2910 for the class with id #021899. I give it 2 difficulty and 2 quality.,0,0,2910,36
Here is a comment by student #1782 for the class with id #021899. I give it 5 difficulty and 3 quality.,0,0,1782,37
Here is a comment by student #1342 for the class with id #021899. I give it 1 difficulty and 4 quality.,3,0,1342,38
Here is a comment by student #3732 for the class with id #000516. I give it 1 difficulty and 2 quality.,3,0,3732,39
Here is a comment by student #1390 for the class with id #000516. I give it 3 difficulty and 4 quality.,0,0,1390,40
Here is a comment by student #2952 for the class with id #000516. I give it 5 difficulty and 3 quality.,8,0,2952,41
Here is a comment by student #3181 for the class with id #000516. I give it 5 difficulty and 4 quality.,0,0,3181,42
Here is a comment by student #1260 for the class with id #000516. I give it 1 difficulty and 3 quality.,0,0,1260,43
Here is a comment by student #3571 for the class with id #000516. I give it 5 difficulty and 2 quality.,5,0,3571,44
Here is a comment by student #1834 for the class with id #000516. I give it 4 difficulty and 4 quality.,2,0,1834,45
Here is a comment by student #2782 for the class with id #000516. I give it 2 difficulty and 5 quality.,0,0,2782,46
Here is a comment by student #3391 for the class with id #000516. I give it 2 difficulty and 3 quality.,6,0,3391,47
Here is a comment by student #3953 for the class with id #000516. I give it 4 difficulty and 3 quality.,3,0,3953,48
Here is a comment by student #2394 for the class with id #000516. I give it 4 difficulty and 5 quality.,3,0,2394,49
Here is a comment by student #2154 for the class with id #000516. I give it 3 difficulty and 5 quality.,8,0,2154,50
Here is a comment by student #1917 for the class with id #000516. I give it 3 difficulty and 3 quality.,0,0,1917,51
Here is a comment by student #2621 for the class with id #000517. I give it 2 difficulty and 4 quality.,0,0,2621,52
Here is a comment by student #1192 for the class with id #000517. I give it 5 difficulty and 4 quality.,8,0,1192,53
Here is a comment by student #1122 for the class with id #000517. I give it 4 difficulty and 5 quality.,0,0,1122,54
Here is a comment by student #1943 for the class with id #000517. I give it 5 difficulty and 4 quality.,0,1,1943,55
Here is a comment by student #3904 for the class with id #000517. I give it 2 difficulty and 1 quality.,1,0,3904,56
Here is a comment by student #3403 for the class with id #000517. I give it 5 difficulty and 2 quality.,5,0,3403,57
Here is a comment by student #1236 for the class with id #000517. I give it 1 difficulty and 2 quality.,1,1,1236,58
Here is a comment by student #2865 for the class with id #000517. I give it 4 difficulty and 1 quality.,5,0,2865,59
