16mm Film Production,020225,DOCST,357S,0,0,0,0,0,0,0,0,0,0,0
Activating the Archive: Archival Research as Documentary Practice,023605,DOCST,316S,0,0,0,0,0,0,1,0,0,0,0
Advanced Arabic,000516,ARABIC,305,0,0,1,0,0,0,0,0,0,0,0
Advanced Arabic,000517,ARABIC,306,0,0,0,0,0,0,0,1,0,0,0
Advanced Chinese II,002425,CHINESE,306,0,0,1,0,0,0,0,0,0,0,0
Advanced Documentary Filmmaking,016424,DOCST,470S,0,0,0,0,0,0,0,0,0,0,0
Advanced Documentary Photography,008132,DOCST,319S,0,0,0,0,0,0,0,0,0,0,0
Advanced Experimental Physics,025137,BIOLOGY,364L,0,0,0,0,0,0,0,0,0,0,0
Advanced Laboratory Techniques,002364,CHEM,420L,0,0,0,0,1,0,0,0,0,0,0
Advanced Levantine Arabic Language and Culture,024424,ARABIC,304,0,0,1,0,0,0,0,0,0,0,0
Advanced Multimedia Production,024113,DOCST,369S,0,0,0,0,0,0,0,0,0,1,0
Advanced Progress in Chinese,002422,CHINESE,325A,0,0,1,0,0,0,0,0,0,0,0
Advanced Progress in Chinese,002423,CHINESE,326A,0,0,1,0,0,0,0,0,0,0,0
Advanced Software Design and Implementation,002604,COMPSCI,308,0,0,0,0,0,1,0,0,0,0,0
Advertising and Masculinity,013831,CULANTH,272S,0,0,1,0,0,0,0,0,0,0,0
Advertising and Society: Global Perspective (DS4),001876,CULANTH,170,0,0,1,0,0,0,0,0,0,0,0
African American Art,000610,ARTHIST,283,0,0,1,0,0,0,0,0,0,0,0
African Art: From Royal Court to Contemporary Marketplace,025254,ARTHIST,345,0,0,1,0,0,0,0,0,0,0,0
African Mbira Music: An Experiential Learning Class,017879,CULANTH,133S,0,0,1,0,0,0,0,0,0,0,0
Age of Warriors: Pre-Roman and Italian Archaeology,022462,CLST,141,0,0,1,0,0,0,0,0,0,0,0
AIDS and Other Emerging Diseases,012940,BIOLOGY,154,0,0,0,0,0,0,0,0,0,1,0
Alternative Photographic Processes,016425,DOCST,218S,0,0,0,1,0,0,0,0,0,0,0
American Independent Cinema,022872,DOCST,322S,0,0,1,0,0,0,0,0,0,0,0
Analysis of Ocean Ecosystems,001498,BIOLOGY,272A,0,0,0,0,0,0,0,0,0,0,0
Analytical and Computational Solid Mechanics,015242,CEE,425,0,0,0,0,0,0,0,0,0,0,0
Analytical Chemistry,002327,CHEM,401,0,0,0,0,1,0,0,0,0,0,0
