Intermediate Arabic,000513,ARABIC,204,0,0,0,0,0,0,0,1,0,0,0
Media Arabic I: Arabic in Media and Documentary Film,000527,ARABIC,281,0,0,0,0,0,0,0,1,0,0,0
Media Arabic II,021898,ARABIC,283,0,0,0,0,0,0,0,1,0,0,0
Levantine Arabic: Dardasha Shamiyyah,022530,ARABIC,287,0,0,1,0,0,0,0,0,0,0,0
Conversational Egyptian Arabic,023314,ARABIC,288,0,0,1,0,0,0,0,0,0,0,0
Duke Administered Study Abroad: Special Topics in Arabic,022670,ARABIC,290A,0,0,0,0,0,0,0,0,0,0,0
Arabic Dialect in Music,021899,ARABIC,295,0,0,0,0,0,0,0,1,0,0,0
Dardasha Arabiyyah: Moroccan Dialect and Culture,023291,ARABIC,296A,0,0,1,0,0,0,0,0,0,0,0
Advanced Levantine Arabic Language and Culture,024424,ARABIC,304,0,0,1,0,0,0,0,0,0,0,0
Advanced Arabic,000516,ARABIC,305,0,0,1,0,0,0,0,0,0,0,0
Advanced Arabic,000517,ARABIC,306,0,0,0,0,0,0,0,1,0,0,0
Literary Islam,022878,ARABIC,328S,0,0,1,0,0,0,0,0,0,0,0
Independent Study,000526,ARABIC,391,0,0,0,0,0,0,0,0,0,0,0
Issues in Arabic Language and Literature I,000524,ARABIC,407,0,0,1,0,0,0,0,0,0,0,0
Issues in Arabic Language and Literature II,000525,ARABIC,408,0,0,0,0,0,0,0,1,0,0,0
Classical Arabic Language \u0026 Literature,021900,ARABIC,489,0,0,0,0,0,0,0,1,0,0,0
Introduction to the History of Art,000536,ARTHIST,101D,0,0,1,0,0,0,0,0,0,0,0
Introduction to World Art History from 1200 to the Present,000538,ARTHIST,102D,0,0,1,0,0,0,0,0,0,0,0
Introduction to the History of Art,000538,ARTHIST,102D,0,0,1,0,0,0,0,0,0,0,0
Exploring Art and Architecture - Foundations and Histories,023565,ARTHIST,104,0,0,0,1,0,0,0,0,0,0,0
Medieval Cultures,006622,ARTHIST,121,0,0,1,0,0,0,0,0,0,0,0
Renaissance Cultures,006623,ARTHIST,152,0,0,1,0,0,0,0,0,0,0,0
